"In The Black — Premium Toolkit"
""
"GETTING STARTED CHECKLIST"
"#","Task","Done?","Notes","Link"
"1","Review your Financial Health Score to see your starting point","","","→ Go to: Financial Health Score"
"2","Add your debts to the Debt Payoff tab","","","→ Go to: Debt Payoff"
"3","Enter your assets and liabilities on the Net Worth tab","","","→ Go to: Net Worth"
"4","Set your Emergency Fund target","","","→ Go to: Emergency Fund"
"5","Log this month's numbers on the History & Trends tab","","","→ Go to: History & Trends"
"6","Revisit monthly and watch your score and net worth trend","","","→ Go to: History & Trends"
""
"LEGEND"
"YELLOW cells","Enter your own numbers here","","",""
"GREEN text","Pulled automatically from another tab","","",""
""
"INSTRUCTIONS"
"Step 1","Download all CSV files from this package","","",""
"Step 2","Open Google Sheets or Excel","","",""
"Step 3","Create a new spreadsheet","","",""
"Step 4","File > Import > Upload each CSV (select 'Replace spreadsheet' for first, 'Insert new sheet' for others)","","",""
"Step 5","Name each sheet according to the CSV filename","","",""
"Step 6","Follow the Getting Started checklist above","","",""
""
"DATA FLOW"
"This spreadsheet is designed so data entered in one tab automatically appears in others.","","","",""
"For example:","","","",""
"- Enter income in Feedback Dashboard → Appears in Unified Dashboard","","","",""
"- Add debts in Debt Payoff → Totals flow to Unified Dashboard","","","",""
"- Update Net Worth → Health Score updates automatically","","","",""
